0		"#"		35
0		"%"		37
0		"&"		38
0		"+"		43
0		"7"		55
0		";"		59
0		"<"		60
0		"="		61
0		">"		62
0		"@"		64
0		"Q"		81
0		"U"		85
0		"Z"		90
0		"["		91
0		"\"		92
0		"]"		93
0		"^"		94
0		"`"		96
0		"q"		113
1		"!"		33
1		"$"		36
1		"8"		56
1		"V"		86
1		"X"		88
1		"Y"		89
2		"*"		42
2		"/"		47
2		"6"		54
3		"D"		68
4		"3"		51
4		"B"		66
4		"L"		76
4		"j"		106
5		"4"		52
5		"?"		63
5		"F"		70
6		"9"		57
6		"C"		67
6		"H"		72
6		"K"		75
6		"O"		79
8		"5"		53
8		"E"		69
9		"2"		50
9		"G"		71
9		"N"		78
10		"z"		122
11		"M"		77
13		"-"		45
13		"x"		120
15		"("		40
15		")"		41
16		"J"		74
17		"'"		39
17		"0"		48
18		"W"		87
18		"_"		95
19		"1"		49
20		"P"		80
22		"R"		82
24		"""		34
24		":"		58
32		"T"		84
36		"S"		83
39		"A"		65
96		"I"		73
100		"v"		118
114		","		44
114		"k"		107
131		"."		46
138		"b"		98
175		"p"		112
175		"w"		119
175		"y"		121
189		"f"		102
211		"g"		103
242		"c"		99
254		"u"		117
260		"m"		109
305		"l"		108
392		"h"		104
428		"d"		100
520		"r"		114
585		"i"		105
606		"s"		115
617		"o"		111
634		"n"		110
810		"a"		97
824		"t"		116
1113	"e"		101
